name,state,address,phone,type,lat,lon,photo,opening_event,
Nouméa,,,,office,-22.2710727,166.4416459,,https://www.facebook.com/groups/2161482974170655/,
Saint Martin,,,,office,18.0708298,-63.0500809,,https://www.facebook.com/groups/673132183071161/,
Germany,Germany,,,office,51.165691,10.451526,,https://www.facebook.com/groups/179123786323054/,
England,England,,,office,52.3555177,-1.1743197,,https://www.facebook.com/groups/251666512141446/,
Benin,Benin,,,office,9.30769,2.315834,,https://www.facebook.com/groups/247125839290199/,
Brazil,Brazil,,,office,-10.3333333,-53.2,,https://www.facebook.com/groups/283927015574807/,
Brussels,Brussels,,,office,50.8503463,4.3517211,,https://www.facebook.com/groups/497371787340588/,
Colombia,Colombia,,,office,4.570868,-74.297333,,https://www.facebook.com/groups/308507883070016/,
Congo,Congo,,,office,-4.038333,21.758664,,https://www.facebook.com/groups/2189528447928050/,
Edimbourg,Scotland,,,office,55.953252,-3.188267,,https://www.facebook.com/groups/500593237017291/,
Egypt,Egypt,,,office,26.820553,30.802498,,https://www.facebook.com/groups/351005268978701/,
Spain,Spain,,,office,39.3262345,-4.8380649,,https://www.facebook.com/groups/250897315574289/,
Geneva,Geneva,,,office,46.2043907,6.1431577,,https://www.facebook.com/groups/301505104005314/,
Hawai,Hawai,,,office,19.8967662,-155.5827818,,https://www.facebook.com/groups/1139354206214239/,
India,India,,,office,20.593684,78.96288,,https://www.facebook.com/groups/347706145773994/,
Italy,Italy,,,office,41.87194,12.56738,,https://www.facebook.com/groups/892791074441921/,
Japan,Japan,,,office,36.204824,138.252924,,https://www.facebook.com/groups/381680969040186/,
Luxembourg,Luxembourg,,,office,49.8158683,6.1296751,,https://www.facebook.com/groups/riseforclimate/,
Malta,Malta,,,office,35.937496,14.375416,,https://www.facebook.com/groups/2207851109453260/,
Montevideo,Montevideo,,,office,-34.9011127,-56.1645314,,https://www.facebook.com/groups/808475106151025/,
Montreal,Montreal,,,office,45.5016889,-73.567256,,https://www.facebook.com/groups/471639389998244/,
Neuchatel,Switzerland,,,office,46.9899874,6.9292732,,https://www.facebook.com/groups/2109185405997629/,
New York,New York,,,office,40.7127753,-74.0059728,,https://www.facebook.com/groups/1047733075381644/,
Peru,Peru,,,office,-9.189967,-75.015152,,https://www.facebook.com/groups/2164401950548513/,
Sweden,Sweden,,,office,60.128161,18.643501,,https://www.facebook.com/groups/175871256691476/,
Togo Republic,Togo Republic,,,office,8.619543,0.824782,,https://www.facebook.com/groups/2102654166730603/,
Vietnam,Vietnam,,,office,14.058324,108.277199,,https://www.facebook.com/groups/1916045161822017/,
Tahiti,Tahiti,,,office,-17.6509195,-149.4260421,,https://www.facebook.com/groups/2205809513030838/,
USA,USA,,,office,37.09024,-95.712891,,https://www.facebook.com/groups/257227268275967/,
Klimatinspiratör Klimataktion,Sweden,,,office,60.709149,14.896603,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Stockholm,,"Stockholm Stockholms län, Sverige",,office,59.3293235,18.0685808,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Luleå,,"Luleå Norrbottens län, Sverige",,office,65.5831,22.146,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Umeå,,"Umeå Västerbottens län, Sverige",,office,63.8257,20.2631,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Falun,,"Falu kommun Dalarnas län, Sverige",,office,60.607,15.6323,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Uppsala,,"Uppsala Uppsala län, Sverige",,office,59.8594,17.6411,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Örebro,,"Örebro Örebro län, Sverige",,office,59.2747,15.215,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Göteborg,,"Göteborg  Västra Götalands län, Sverige",,office,57.7072,11.967,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Vimmerby,,"Vimmerby Kalmar län, Sverige",,office,57.6653,15.8563,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Visby,,"Visby Gotlands län, Sverige",,office,57.6379,18.298,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Kalmar,,"Kalmar Kalmar län, Sverige",,office,56.6629,16.3662,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Karlstad,,"Karlstad Värmlands län, Sverige",,office,59.3799,13.5029,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Malmö,,"Malmö Skåne län, Sverige",,office,55.6053,13.0002,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Halmstad,,"Halmstad Hallands län, Sverige",,office,56.674,12.8575,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Östersund,,"Östersund Jämtlands län, Sverige",,office,63.1794,14.6357,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Västervik,,"Västervik Kalmar län, Sverige",,office,57.7594,16.6385,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Nyköping,,"Nyköping Södermanlands län, Sverige",,office,58.7545,17.0118,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Ånge,,"Ånge kommun Västernorrlands län, Sverige",,office,62.5243,15.6604,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Borås,,"Borås Västra Götalands län, Sverige",,office,57.7211,12.9407,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Ekerö,,"Ekerö kommun Stockholms län, Sverige",,office,59.2905,17.8131,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Sundsvall,,"Sundsvalls kommun Västernorrlands län, Sverige",,office,62.3908,17.3071,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Norrköping,,"Norrköping Östergötlands län, Sverige",,office,58.5909,16.1904,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Alingsås,,"Alingsås Västra Götalands län, Sverige",,office,57.93,12.533,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Nykvarn,,"Nykvarn Stockholms län, Sverige",,office,59.1772,17.4312,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Aneby,,"Aneby kommun Jönköpings län, Sverige",,office,57.8381,14.8101,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Linköping,,"Linköping Östergötlands län, Sverige",,office,58.4098,15.6245,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Katrineholm,,"Katrineholm Södermanlands län, Sverige",,office,58.996,16.2068,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Trollhättan,,"Trollhättan Västra Götalands län, Sverige",,office,58.2828,12.2909,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Gävle,,"Gävle Gävleborgs län, Sverige",,office,60.675,17.1467,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Mora,,"Mora Dalarnas län, Sverige",,office,61.0082,14.5431,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Södertälje,,"Södertälje Stockholms län, Sverige",,office,59.1964,17.6272,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Akalla,,"Akalla Stockholms län, Sverige",,office,59.4147,17.9218,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Lund,,"Lund Skåne län, Sverige",,office,55.7029,13.1929,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Västerås,,"Västerås Västmanlands län, Sverige",,office,59.6111,16.5464,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Järfälla,,"Järfälla Stockholms län, Sverige",,office,59.4205,17.8285,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Sigtuna,,"Sigtuna Stockholms län, Sverige",,office,59.6165,17.7236,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Åkersberga,Österåker,,"Åkersberga Stockholms län, Sverige",,office,59.4824,18.2944,,https://www.facebook.com/groups/929294497203110/
Fridayforfuture Nacka,,"Nacka kommun Stockholms län, Sverige",,office,59.3099,18.1677,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Norrtälje,,"Norrtälje Stockholms län, Sverige",,office,59.7592,18.7037,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Upplands-Bro,,"Upplands-Bro kommun Stockholms län, Sverige",,office,59.5262,17.6517,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Säffle,,"Säffle Värmlands län, Sverige",,office,59.1329,12.9249,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Skövde,,"Skövde Västra Götalands län, Sverige",,office,58.3898,13.8444,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Orsa,,"Orsa Dalarnas län, Sverige",,office,61.1201,14.6223,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Vännäs,,"Vännäs kommun Västerbottens län, Sverige",,office,63.9059,19.7513,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Nora,,"Nora Örebro län, Sverige",,office,59.5187,15.0388,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Falköping,,"Falköping Västra Götalands län, Sverige",,office,58.1703,13.5552,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Hudiksvall,,"Hudiksvall Gävleborgs län, Sverige",,office,61.7283,17.1047,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Bollnäs,,"Bollnäs Gävleborgs län, Sverige",,office,61.3513,16.3972,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Bollebygd,,"Bollebygds kommun Västra Götalands län, Sverige",,office,57.6689,12.5707,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Lidingö,,"Lidingö Stockholms län, Sverige",,office,59.3644,18.1331,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Kungälv,,"Kungälv Västra Götalands län, Sverige",,office,57.8708,11.9789,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Gislaved,,"Gislaveds kommun Jönköpings län, Sverige",,office,57.302,13.5392,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Skellefteå,,"Skellefteå kommun Västerbottens län, Sverige",,office,64.752,20.9593,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Karlskoga,,"Karlskoga Örebro län, Sverige",,office,59.3292,14.5177,,https://www.facebook.com/groups/929294497203110/,
